epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,106.556,1.91006,0.89874,0.92683,0.3735,0.74531,0.36035,0.11826,2.63378,1.76435,1.25113,0.00163317,0.00163317,0.00163317
43,109.039,1.83562,0.87979,0.97126,0.49065,0.25,0.30296,0.08337,3.2597,1.81553,1.51875,0.00163234,0.00163234,0.00163234
44,111.624,1.79168,0.86516,0.94506,0.6357,0.375,0.43435,0.1486,2.91407,1.70632,1.34541,0.00163152,0.00163152,0.00163152
45,114.113,1.837,0.86863,0.96585,0.41848,0.625,0.50858,0.14913,2.91234,1.54651,1.45362,0.00163069,0.00163069,0.00163069
46,116.577,1.90551,0.85853,0.96859,0.69209,0.56246,0.63073,0.1564,2.85999,1.61579,1.40689,0.00162987,0.00162987,0.00162987
47,119.046,1.82301,0.8737,0.94096,0.60511,0.58333,0.55283,0.16538,2.8092,1.43006,1.39102,0.00162904,0.00162904,0.00162904
48,121.572,1.93511,0.91269,0.95333,0.63285,0.75,0.70752,0.16616,2.87598,1.33313,1.43098,0.00162822,0.00162822,0.00162822
49,124.093,1.88485,0.88138,0.93299,0.54674,0.45833,0.4807,0.16748,2.66531,2.19031,1.32286,0.00162739,0.00162739,0.00162739
50,126.678,1.86666,0.88134,0.96049,0.81896,0.41667,0.55214,0.16004,2.74063,1.80662,1.37994,0.00162657,0.00162657,0.00162657
51,129.432,1.68656,0.86581,0.87887,0.62307,0.45833,0.51897,0.13021,2.89991,1.60249,1.37843,0.00162574,0.00162574,0.00162574
52,131.969,1.84147,0.86725,0.94744,0.67121,0.42575,0.4663,0.15188,2.79911,1.45654,1.3161,0.00162492,0.00162492,0.00162492
53,134.511,1.74711,0.85843,0.88213,0.30354,0.29167,0.26543,0.10073,3.15465,1.50509,1.40895,0.00162409,0.00162409,0.00162409
54,136.941,1.89924,0.86167,0.96636,0.44985,0.45833,0.44586,0.15146,2.66628,1.35979,1.20651,0.00162327,0.00162327,0.00162327
55,139.47,1.84293,0.81813,0.94869,0.63702,0.75,0.67723,0.1816,2.77931,1.3338,1.36925,0.00162244,0.00162244,0.00162244
56,142.023,1.8334,0.83361,0.94117,0.81854,0.83333,0.78564,0.18969,2.79497,1.35741,1.38546,0.00162162,0.00162162,0.00162162
57,144.545,1.81224,0.81494,0.95821,0.52976,0.58333,0.55311,0.12689,3.00293,1.30873,1.42548,0.00162079,0.00162079,0.00162079
58,147.083,1.79798,0.82224,0.94699,0.64067,0.66867,0.63256,0.15885,2.82942,1.37586,1.34473,0.00161997,0.00161997,0.00161997
59,149.608,1.84707,0.84045,0.92795,0.73774,0.70833,0.72516,0.18728,2.74914,1.32837,1.27566,0.00161914,0.00161914,0.00161914
60,152.17,1.88385,0.8772,0.9724,0.88566,0.79167,0.78296,0.21471,2.58646,1.21102,1.23125,0.00161832,0.00161832,0.00161832
61,154.705,1.77408,0.79756,0.90073,0.9181,0.70833,0.78288,0.20584,2.82122,1.42289,1.28855,0.00161749,0.00161749,0.00161749
62,157.224,1.89532,0.86877,0.94766,0.84433,0.67842,0.73131,0.20522,2.77196,1.23126,1.28457,0.00161666,0.00161666,0.00161666
63,159.89,1.89536,0.89239,0.96237,0.65927,0.56484,0.57165,0.17735,2.90223,1.43313,1.28716,0.00161584,0.00161584,0.00161584
64,162.476,1.78426,0.81408,0.95424,0.81954,0.375,0.56784,0.17941,2.67126,1.79249,1.23185,0.00161501,0.00161501,0.00161501
65,164.959,1.84833,0.80426,0.94579,0.73775,0.45833,0.56432,0.16259,2.85636,1.87245,1.36347,0.00161419,0.00161419,0.00161419
66,167.595,1.80621,0.79602,0.95463,0.59015,0.58333,0.65259,0.17467,2.8688,1.41532,1.37142,0.00161336,0.00161336,0.00161336
67,170.073,1.81728,0.84975,0.93258,0.66538,0.29167,0.38623,0.11171,3.31687,1.48121,1.59948,0.00161254,0.00161254,0.00161254
68,172.668,1.78316,0.80933,0.93138,0.81119,0.70833,0.7837,0.2044,2.75901,1.36955,1.31797,0.00161171,0.00161171,0.00161171
